#PAGE_URL,title,company-name,job-link,job-link_link,short-description-,location
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Sales Supervisor - North Upper Egypt,PepsiCo International,Sales Supervisor - North Upper Egypt,https://wuzzuf.net/jobs/p/cc5848eb-a2c4-4055-94ef-a966cf74d2c0-Sales-Supervisor---North-Upper-Egypt-PepsiCo-International-Beni-Suef-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=9,Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28/ 2020,Beni Suef Egypt
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,Junior Technical Support Engineer - Upper Egypt,https://wuzzuf.net/jobs/p/39a68f94-611c-4a07-9cba-a79c172fc438-Junior-Technical-Support-Engineer---Upper-Egypt-MigrationIT-com-Assiut-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=4,Full Time · Entry Level · 1-2 Yrs of Exp · ITIL · Technical Support · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software · Hardware - November 10/ 2020,Assiut Egypt
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Software Developer,Rednet It Services,Software Developer,https://wuzzuf.net/jobs/p/7f3aec8d-1724-4f0c-9823-1da77c1da615-Software-Developer-Rednet-It-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=20,Full Time · Experienced · 2-3 Yrs of Exp · Software Development · C# · .NET · OOP · ADO.NET · SSRS · SSIS · Computer Engineering · Computer Science · Windows Forms · XML · javaScript · XSLT - New,Maadi Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Senior Software Quality Control Engineer,Bnsights,Senior Software Quality Control Engineer,https://wuzzuf.net/jobs/p/bbc5d1cb-33ff-4c10-acc2-c86eb421c9ec-Senior-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=14,Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New,New Cairo Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Senior E-Commerce Software Developer (Magento 2),shop4build,Senior E-Commerce Software Developer (Magento 2),https://wuzzuf.net/jobs/p/2be88ac7-5a6c-4a5a-8f77-bee5e8ee194b-Senior-E-Commerce-Software-Developer-Magento-2-shop4build-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=12,Full Time · Part Time · Work From Home · Experienced · 2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New,Maadi Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Software Developer,Interact Technology Solutions,Software Developer,https://wuzzuf.net/jobs/p/d62ebf2a-08d0-4ce4-8f35-4bf04436b429-Software-Developer-Interact-Technology-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=10,· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - New,Maadi Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Senior Software Developer,BlueCloud,Senior Software Developer,https://wuzzuf.net/jobs/p/87061637-e2b1-4829-8ed5-6c02aa6aa616-Senior-Software-Developer-BlueCloud-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=17,Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22/ 2020,Sheraton Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Software Quality Control Engineer,Bnsights,Software Quality Control Engineer,https://wuzzuf.net/jobs/p/c9874cab-e008-49ac-8f0e-d0694ff2c51f-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=13,Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New,New Cairo Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Senior Software Developer,BlueCloud,Senior Software Developer,https://wuzzuf.net/jobs/p/87061637-e2b1-4829-8ed5-6c02aa6aa616-Senior-Software-Developer-BlueCloud-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=17,Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22/ 2020,Sheraton Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0,Software Development Manager,Nahdet Misr Publishing Group,Software Development Manager,https://wuzzuf.net/jobs/p/bcd03e2d-9e2b-46ca-965c-73f1258a6b67-Software-Development-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=11,Full Time · Manager · 10+ Yrs of Exp · Software Development · Development · Software · Information Technology (IT) · Computer Science · Software Engineering · .NET · IT/Software Development - November 23/ 2020,Mohandessin Giza
